platform,price,price_display,airline,out_depart,out_arrive,ret_depart,ret_arrive,split,link
Kayak,1372,"$1,372",WB + KL + AF,2026-11-25T14:45:00,N/A,2026-12-24T17:10:00,N/A,YES,https://www.kayak.com
Kayak,1577,"$1,577",Unknown,N/A,N/A,N/A,N/A,No,https://www.kayak.com/book/flight?code=uGGiFK2O0a.ZpbE3-UY8hoNUvH8T-y68A.157696.8db164c14c2955db8e62e7df1944c4df&h=b3de29868269&sub=F-4193209805601929158E0d49c6c078d&viewId=0cfbf948-dcc0-418e-8c52-d5b685284c00&viewRank=2
Booking.com,1616,$1616,Egyptair,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Skyscanner,1626.73,"$1,627",Emirates,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Expedia,1628.0,"US$1,628",Emirates,2026-11-25T17:55,2026-11-26T12:45,2026-12-24T15:35,2026-12-26T16:10,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQrMAwqsA3Y1LXNvcy1kN2NkZTUxMjJkNDM0MTFhYWJkNWFjMDBhYjczNjU0My03NS0xfjguUy4xfkFRb0NDRDhTQndpb1hCQUJHQThvQWxnQ2NBQjZDVzVrWTJScGNtVmpkSWdCaXFtSlphb0JCd29EVEU5VEVBQ3lBUWNLQTB4QldCQUF-QVFwZ0NpNEl4WllCRWdNM09EUVl5NU1CSU9NTktOZU9uZ013aXBLZUF6aFVRQUJZQVdvQ1dWQnlDRlJNUlVWUVRrY3hDaTRJeFpZQkVnTXlNVFVZNHcwZ2k3Z0JLSTZVbmdNdzNadWVBemhVUUFCWUFXb0NXVkJ5Q0ZSTVJVVlFUa2N4Q21BS0xnakZsZ0VTQXpJeE5oaUx1QUVnNHcwb2g5aWdBekRDMzZBRE9GUkFBRmdCYWdKWlVISUlWRXhGUlZCT1J6RUtMZ2pGbGdFU0F6YzRNeGpqRFNETGt3RW94dWFnQXpETzZxQURPRlJBQUZnQmFnSlpVSElJVkV4RlJWQk9SekVTQ2dnQkVBRVlBU29DUlVzWUFTSUVDQUVRQVNnQ0tBTW9CREFMEfYoXI_CI5ZAIgEBKgUSAwoBMXoFQ29hY2iAAQASPwoWCgoyMDI2LTExLTI1EgNMT1MaA0xBWAoWCgoyMDI2LTEyLTI0EgNMQVgaA0xPUxIHEgVDT0FDSBoCEAEgAg%253D%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Booking.com,1670,$1670,Emirates Airlines,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Skyscanner,1689.39,"$1,690",EgyptAir,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Expedia,1693.0,"US$1,693",EGYPTAIR,2026-11-25T15:00,2026-11-26T12:20,2026-12-24T16:25,2026-12-26T13:45,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQq1AwqVA3Y1LXNvcy1kN2NkZTUxMjJkNDM0MTFhYWJkNWFjMDBhYjczNjU0My00NzctMn44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2QTJKbWM0Z0JpcW1KWmFvQkJ3b0RURTlURUFDeUFRY0tBMHhCV0JBQX5BUXBhQ2lzSXphWUJFZ000TnpZWXk1TUJJSUpBS0tpTm5nTXczby1lQXpoWFFBQllBV29DUWs5eUJWZE9TVTVIQ2lzSXphWUJFZ001T0RNWWdrQWdpN2dCS01xVW5nTXd4SnVlQXpoWFFBRllBV29DUWs5eUJWZE9TVTVIQ2xvS0t3ak5wZ0VTQXprNE5CaUx1QUVnZ2tBb3VkaWdBekR5M3FBRE9GRkFBRmdCYWdKSFJISUZVVkpGVGtjS0t3ak5wZ0VTQXpnM05SaUNRQ0RMa3dFbzBPYWdBekM5NmFBRE9GRkFBVmdCYWdKSFJISUZVVkpGVGtjU0NnZ0NFQUVZQWlvQ1RWTVlBU0lFQ0FFUUFTZ0NLQVFvQmpBQhEpXI_C9QeXQCIBASoFEgMKATF6BUNvYWNogAEAEj8KFgoKMjAyNi0xMS0yNRIDTE9TGgNMQVgKFgoKMjAyNi0xMi0yNBIDTEFYGgNMT1MSBxIFQ09BQ0gaAhABIAI%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Booking.com,1847,$1847,Air France,2026-11-25T23:55:00,2026-11-26T13:00:00,2026-12-24T21:05:00,2026-12-26T21:40:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Expedia,1850.0,"US$1,850",Air France,2026-11-25T23:55,2026-11-26T13:00,2026-12-24T21:05,2026-12-26T21:40,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQroAwrIA3Y1LXNvcy1kN2NkZTUxMjJkNDM0MTFhYWJkNWFjMDBhYjczNjU0My0xMC0xfjguUy4xfkFRb0NDRDhTQndpb1hCQUJHQThvQWxnQ2NBQjZBMkptYzRnQmlxbUpaYUlCQVVTcUFRY0tBMHhQVXhBQXNnRUhDZ05NUVZnUUFBfkFRcHJDalFJd1l3QkVnTXhORGtZeTVNQklPSXdLTC1SbmdNdzFKU2VBemhXUUFCWUFXb0lURWxIU0ZSQ1FVZHlDRlpIVERoS1NGSkJDak1Jd1l3QkVnSXlNaGppTUNDTHVBRW9wcGFlQXpEc201NERPRlpBQVZnQmFnaE1TVWRJVkVKQlIzSUlWa2RNT0VwSVVrRUthd296Q01HTUFSSUNNVGtZaTdnQklPSXdLTkhhb0FNdzF0LWdBemhPUUFCWUFXb0lURWxIU0ZSQ1FVZHlDRTVIVVRaS1FsSkJDalFJd1l3QkVnTXhORGdZNGpBZ3k1TUJLSkxxb0FNd21PMmdBemhPUUFGWUFXb0lURWxIU0ZSQ1FVZHlDRTVIVVRaS1FsSkJFZ29JQVJBQkdBRXFBa0ZHR0FFaUJBZ0JFQUVvQWlnREtBUXdEURHhehSuRyiZQCIBASoFEgMKATF6BUNvYWNogAEAEj8KFgoKMjAyNi0xMS0yNRIDTE9TGgNMQVgKFgoKMjAyNi0xMi0yNBIDTEFYGgNMT1MSBxIFQ09BQ0gaAhABIAI%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
