platform,price,price_display,airline,out_depart,out_arrive,ret_depart,ret_arrive,split,link
Kayak,1377,"$1,377",DL + WB,2026-11-25T14:45:00,N/A,2026-12-24T14:25:00,N/A,YES,https://www.kayak.com
Kayak,1577,"$1,577",Unknown,N/A,N/A,N/A,N/A,No,https://www.kayak.com/book/flight?code=uGFiCXpxss.ZpbE3-UY8hoNUvH8T-y68A.157696.8db164c14c2955db8e62e7df1944c4df&h=35d9326f404a&sub=F-2566153125870985590E0d49c6c078d&viewId=39887c4a-6e1d-414a-b283-e9ac387301d8&viewRank=2
Expedia,1617.0,"US$1,617",Emirates,2026-11-25T17:55,2026-11-26T12:45,2026-12-24T15:35,2026-12-26T16:10,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQrNAwqtA3Y1LXNvcy1kMWMzYzc5YzhiZjU0ZTEzYWU1Y2U2NWMzNTE0NTdkOC0yNzItMX44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2Q1c1a1kyUnBjbVZqZElnQnYtVC1aS29CQndvRFRFOVRFQUN5QVFjS0EweEJXQkFBfkFRcGdDaTRJeFpZQkVnTTNPRFFZeTVNQklPTU5LTmVPbmdNd2lwS2VBemhVUUFCWUFXb0NXVkJ5Q0ZSTVJVVlFUa2N4Q2k0SXhaWUJFZ015TVRVWTR3MGdpN2dCS0k2VW5nTXczWnVlQXpoVVFBQllBV29DV1ZCeUNGUk1SVVZRVGtjeENtQUtMZ2pGbGdFU0F6SXhOaGlMdUFFZzR3MG9oOWlnQXpEQzM2QURPRlJBQUZnQmFnSlpVSElJVkV4RlJWQk9SekVLTGdqRmxnRVNBemM0TXhqakRTRExrd0VveHVhZ0F6RE82cUFET0ZSQUFGZ0JhZ0paVUhJSVZFeEZSVkJPUnpFU0NnZ0JFQUVZQVNvQ1JVc1lBU0lFQ0FFUUFTZ0NLQU1vQkRBTBHhehSuRweWQCIBASoFEgMKATF6BUNvYWNogAEAEj8KFgoKMjAyNi0xMS0yNRIDTE9TGgNMQVgKFgoKMjAyNi0xMi0yNBIDTEFYGgNMT1MSBxIFQ09BQ0gaAhABIAI%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Skyscanner,1666.0,"$1,666",EgyptAir,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Expedia,1682.0,"US$1,682",EGYPTAIR,2026-11-25T15:00,2026-11-26T12:20,2026-12-24T16:25,2026-12-26T13:45,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQq1AwqVA3Y1LXNvcy1kMWMzYzc5YzhiZjU0ZTEzYWU1Y2U2NWMzNTE0NTdkOC02MDMtMn44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2QTJKbWM0Z0J2LVQtWktvQkJ3b0RURTlURUFDeUFRY0tBMHhCV0JBQX5BUXBhQ2lzSXphWUJFZ000TnpZWXk1TUJJSUpBS0tpTm5nTXczby1lQXpoWFFBQllBV29DUWs5eUJWZE9TVTVIQ2lzSXphWUJFZ001T0RNWWdrQWdpN2dCS01xVW5nTXd4SnVlQXpoWFFBRllBV29DUWs5eUJWZE9TVTVIQ2xvS0t3ak5wZ0VTQXprNE5CaUx1QUVnZ2tBb3VkaWdBekR5M3FBRE9GRkFBRmdCYWdKSFJISUZVVkpGVGtjS0t3ak5wZ0VTQXpnM05SaUNRQ0RMa3dFbzBPYWdBekM5NmFBRE9GRkFBVmdCYWdKSFJISUZVVkpGVGtjU0NnZ0NFQUVZQWlvQ1RWTVlBU0lFQ0FFUUFTZ0NLQVFvQmpBQhGkcD0K1-iWQCIBASoFEgMKATF6BUNvYWNogAEAEj8KFgoKMjAyNi0xMS0yNRIDTE9TGgNMQVgKFgoKMjAyNi0xMi0yNBIDTEFYGgNMT1MSBxIFQ09BQ0gaAhABIAI%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Skyscanner,1685.63,"$1,686",Emirates,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Booking.com,1693,$1693,Egyptair,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Booking.com,1753,$1753,Emirates Airlines,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Skyscanner,1837.63,"$1,838",Qatar Airways,2026-11-25T15:30:00,2026-11-26T12:50:00,2026-12-24T15:10:00,2026-12-26T14:00:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Booking.com,1936,$1936,Qatar Airways,2026-11-25T15:30:00,2026-11-26T12:50:00,2026-12-24T15:10:00,2026-12-26T14:00:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Expedia,1975.0,"US$1,975",Air France,2026-11-25T23:55,2026-11-26T13:00,2026-12-24T21:05,2026-12-26T21:40,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQrpAwrJA3Y1LXNvcy1kMWMzYzc5YzhiZjU0ZTEzYWU1Y2U2NWMzNTE0NTdkOC02MjgtMX44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2QTJKbWM0Z0J2LVQtWktJQkFVU3FBUWNLQTB4UFV4QUFzZ0VIQ2dOTVFWZ1FBQX5BUXByQ2pRSXdZd0JFZ014TkRrWXk1TUJJT0l3S0wtUm5nTXcxSlNlQXpoV1FBQllBV29JVEVsSFNGUkNRVWR5Q0ZaSFREaEtTRkpCQ2pNSXdZd0JFZ0l5TWhqaU1DQ0x1QUVvcHBhZUF6RHNtNTRET0ZaQUFWZ0JhZ2hNU1VkSVZFSkJSM0lJVmtkTU9FcElVa0VLYXdvekNNR01BUklDTVRrWWk3Z0JJT0l3S05IYW9BTXcxdC1nQXpoRlFBQllBV29JVEVsSFNGUkNRVWR5Q0VWSFVUWktRbEpCQ2pRSXdZd0JFZ014TkRnWTRqQWd5NU1CS0pMcW9BTXdtTzJnQXpoRlFBRllBV29JVEVsSFNGUkNRVWR5Q0VWSFVUWktRbEpCRWdvSUFSQUJHQUVxQWtGR0dBRWlCQWdCRUFFb0FpZ0RLQVF3RFERPQrXo3DnmkAiAQEqBRIDCgExegVDb2FjaIABABI_ChYKCjIwMjYtMTEtMjUSA0xPUxoDTEFYChYKCjIwMjYtMTItMjQSA0xBWBoDTE9TEgcSBUNPQUNIGgIQASAC%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
