platform,price,price_display,airline,out_depart,out_arrive,ret_depart,ret_arrive,split,link
Kayak,1381,"$1,381",WB + DL,2026-11-25T14:45:00,N/A,2026-12-24T17:10:00,N/A,YES,https://www.kayak.com
Kayak,1577,"$1,577",Unknown,N/A,N/A,N/A,N/A,No,https://www.kayak.com/book/flight?code=uXHCCWFDuE.ZpbE3-UY8hoNUvH8T-y68A.157696.8db164c14c2955db8e62e7df1944c4df&h=57a90e168dad&sub=F-120162726588977428E0d49c6c078d&viewId=bd93068a-a730-44ec-82a0-2bd51bc69e80&viewRank=2
Expedia,1624.0,"US$1,624",Emirates,2026-11-25T17:55,2026-11-26T12:45,2026-12-24T15:35,2026-12-26T16:10,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQrRAwqxA3Y1LXNvcy1kNDg2OThiYjhiYmU0MGZhYmE1NGRiMDA4MGI1NWE3ZS0zMzItMX44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2Q1c1a1kyUnBjbVZqZElnQl91bndaSkFCRTZvQkJ3b0RURTlURUFDeUFRY0tBMHhCV0JBQX5BUXBnQ2k0SXhaWUJFZ00zT0RRWXk1TUJJT01OS05lT25nTXdpcEtlQXpoVVFBQllBV29DV1ZCeUNGUk1SVVZRVGtjeENpNEl4WllCRWdNeU1UVVk0dzBnaTdnQktJNlVuZ013M1p1ZUF6aFVRQUJZQVdvQ1dWQnlDRlJNUlVWUVRrY3hDbUFLTGdqRmxnRVNBekl4TmhpTHVBRWc0dzBvaDlpZ0F6REMzNkFET0ZSQUFGZ0JhZ0paVUhJSVZFeEZSVkJPUnpFS0xnakZsZ0VTQXpjNE14ampEU0RMa3dFb3h1YWdBekRPNnFBRE9GUkFBRmdCYWdKWlVISUlWRXhGUlZCT1J6RVNDZ2dCRUFFWUFTb0NSVXNZQVNJRUNBRVFBU2dDS0FNb0JEQUwRrkfhehTelUAiAQEqBRIDCgExegVDb2FjaIABABI_ChYKCjIwMjYtMTEtMjUSA0xPUxoDTEFYChYKCjIwMjYtMTItMjQSA0xBWBoDTE9TEgcSBUNPQUNIGgIQASAC%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Expedia,1714.0,"US$1,714",EGYPTAIR,2026-11-25T15:00,2026-11-26T12:20,2026-12-24T16:25,2026-12-26T13:45,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQq5AwqZA3Y1LXNvcy1kNDg2OThiYjhiYmU0MGZhYmE1NGRiMDA4MGI1NWE3ZS0yNzAtMn44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2QTJKbWM0Z0JfdW53WkpBQkU2b0JCd29EVEU5VEVBQ3lBUWNLQTB4QldCQUF-QVFwYUNpc0l6YVlCRWdNNE56WVl5NU1CSUlKQUtLaU5uZ013M28tZUF6aFhRQUJZQVdvQ1FrOXlCVmRPU1U1SENpc0l6YVlCRWdNNU9ETVlna0FnaTdnQktNcVVuZ013eEp1ZUF6aFhRQUZZQVdvQ1FrOXlCVmRPU1U1SENsb0tLd2pOcGdFU0F6azROQmlMdUFFZ2drQW91ZGlnQXpEeTNxQURPRkZBQUZnQmFnSkhSSElGVVZKRlRrY0tLd2pOcGdFU0F6ZzNOUmlDUUNETGt3RW8wT2FnQXpDOTZhQURPRkZBQVZnQmFnSkhSSElGVVZKRlRrY1NDZ2dDRUFFWUFpb0NUVk1ZQVNJRUNBRVFBU2dDS0FRb0JqQUIRexSuR-EUl0AiAQEqBRIDCgExegVDb2FjaIABABI_ChYKCjIwMjYtMTEtMjUSA0xPUxoDTEFYChYKCjIwMjYtMTItMjQSA0xBWBoDTE9TEgcSBUNPQUNIGgIQASAC%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Skyscanner,1717.89,"$1,718",EgyptAir,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Booking.com,1730,$1730,Egyptair,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Booking.com,1753,$1753,Emirates Airlines,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Booking.com,1937,$1937,Qatar Airways,2026-11-25T15:30:00,2026-11-26T12:50:00,2026-12-24T15:10:00,2026-12-26T14:00:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Skyscanner,1947.11,"$1,948",Qatar Airways,2026-11-25T15:30:00,2026-11-26T12:50:00,2026-12-24T15:10:00,2026-12-26T07:45:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Kayak,2001,"$2,001",Unknown,N/A,N/A,N/A,N/A,No,https://www.kayak.com/book/flight?code=uXHCCWFDuE.HceeID8kIYIMlOqRgOKZ7A.200097.7471bad1ff399e17cae854ca0baa6e0b&h=5a3d0c4a5ac4&sub=F-8960737644268226625E0a546348de3&viewId=bd93068a-a730-44ec-82a0-2bd51bc69e80&viewRank=3&adContentId=cb6b1e8178a76bc804c352d18b503e81
