platform,price,price_display,airline,out_depart,out_arrive,ret_depart,ret_arrive,split,link
Kayak,1372,"$1,372",WB + AF + KL,2026-11-25T14:45:00,N/A,2026-12-24T17:10:00,N/A,YES,https://www.kayak.com
Kayak,1577,"$1,577",Unknown,N/A,N/A,N/A,N/A,No,https://www.kayak.com/book/flight?code=uGEiENiWPP.ZpbE3-UY8hoNUvH8T-y68A.157696.8db164c14c2955db8e62e7df1944c4df&h=c6c81a74f714&sub=F6022575597224598241E0d49c6c078d&viewId=2404541b-eb38-4f8b-b965-56df7ce291c0&viewRank=2
Skyscanner,1609.0,"$1,609",EgyptAir,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Expedia,1628.0,"US$1,628",Emirates,2026-11-25T17:55,2026-11-26T12:45,2026-12-24T15:35,2026-12-26T16:10,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQrMAwqsA3Y1LXNvcy01YzdhYmZjOGJmOWU0NjAzYmMwNTcwOGRhZWU5NDJiOC00My0xfjguUy4xfkFRb0NDRDhTQndpb1hCQUJHQThvQWxnQ2NBQjZDVzVrWTJScGNtVmpkSWdCczh5T1phb0JCd29EVEU5VEVBQ3lBUWNLQTB4QldCQUF-QVFwZ0NpNEl4WllCRWdNM09EUVl5NU1CSU9NTktOZU9uZ013aXBLZUF6aFVRQUJZQVdvQ1dWQnlDRlJNUlVWUVRrY3hDaTRJeFpZQkVnTXlNVFVZNHcwZ2k3Z0JLSTZVbmdNdzNadWVBemhVUUFCWUFXb0NXVkJ5Q0ZSTVJVVlFUa2N4Q21BS0xnakZsZ0VTQXpJeE5oaUx1QUVnNHcwb2g5aWdBekRDMzZBRE9GUkFBRmdCYWdKWlVISUlWRXhGUlZCT1J6RUtMZ2pGbGdFU0F6YzRNeGpqRFNETGt3RW94dWFnQXpETzZxQURPRlJBQUZnQmFnSlpVSElJVkV4RlJWQk9SekVTQ2dnQkVBRVlBU29DUlVzWUFTSUVDQUVRQVNnQ0tBTW9CREFMEfYoXI_CI5ZAIgEBKgUSAwoBMXoFQ29hY2iAAQASPwoWCgoyMDI2LTExLTI1EgNMT1MaA0xBWAoWCgoyMDI2LTEyLTI0EgNMQVgaA0xPUxIHEgVDT0FDSBoCEAEgAg%253D%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Booking.com,1689,$1689,Egyptair,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Expedia,1693.0,"US$1,693",EGYPTAIR,2026-11-25T15:00,2026-11-26T12:20,2026-12-24T16:25,2026-12-26T13:45,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQq1AwqVA3Y1LXNvcy01YzdhYmZjOGJmOWU0NjAzYmMwNTcwOGRhZWU5NDJiOC0xNjUtMn44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2QTJKbWM0Z0JzOHlPWmFvQkJ3b0RURTlURUFDeUFRY0tBMHhCV0JBQX5BUXBhQ2lzSXphWUJFZ000TnpZWXk1TUJJSUpBS0tpTm5nTXczby1lQXpoWFFBQllBV29DUWs5eUJWZE9TVTVIQ2lzSXphWUJFZ001T0RNWWdrQWdpN2dCS01xVW5nTXd4SnVlQXpoWFFBRllBV29DUWs5eUJWZE9TVTVIQ2xvS0t3ak5wZ0VTQXprNE5CaUx1QUVnZ2tBb3VkaWdBekR5M3FBRE9GRkFBRmdCYWdKSFJISUZVVkpGVGtjS0t3ak5wZ0VTQXpnM05SaUNRQ0RMa3dFbzBPYWdBekM5NmFBRE9GRkFBVmdCYWdKSFJISUZVVkpGVGtjU0NnZ0NFQUVZQWlvQ1RWTVlBU0lFQ0FFUUFTZ0NLQVFvQmpBQhEpXI_C9QeXQCIBASoFEgMKATF6BUNvYWNogAEAEj8KFgoKMjAyNi0xMS0yNRIDTE9TGgNMQVgKFgoKMjAyNi0xMi0yNBIDTEFYGgNMT1MSBxIFQ09BQ0gaAhABIAI%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Skyscanner,1713.7,"$1,714",Emirates,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Booking.com,1752,$1752,Emirates Airlines,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Expedia,1833.0,"US$1,833",Air France,2026-11-25T23:55,2026-11-26T13:00,2026-12-24T21:05,2026-12-26T21:40,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQrpAwrJA3Y1LXNvcy01YzdhYmZjOGJmOWU0NjAzYmMwNTcwOGRhZWU5NDJiOC00OTktMX44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2QTJKbWM0Z0JzOHlPWmFJQkFVU3FBUWNLQTB4UFV4QUFzZ0VIQ2dOTVFWZ1FBQX5BUXByQ2pRSXdZd0JFZ014TkRrWXk1TUJJT0l3S0wtUm5nTXcxSlNlQXpoV1FBQllBV29JVEVsSFNGUkNRVWR5Q0ZaSFREaEtTRkpCQ2pNSXdZd0JFZ0l5TWhqaU1DQ0x1QUVvcHBhZUF6RHNtNTRET0ZaQUFWZ0JhZ2hNU1VkSVZFSkJSM0lJVmtkTU9FcElVa0VLYXdvekNNR01BUklDTVRrWWk3Z0JJT0l3S05IYW9BTXcxdC1nQXpoT1FBQllBV29JVEVsSFNGUkNRVWR5Q0U1SFVUWktRbEpCQ2pRSXdZd0JFZ014TkRnWTRqQWd5NU1CS0pMcW9BTXdtTzJnQXpoT1FBRllBV29JVEVsSFNGUkNRVWR5Q0U1SFVUWktRbEpCRWdvSUFSQUJHQUVxQWtGR0dBRWlCQWdCRUFFb0FpZ0RLQVF3RFERFK5H4XrtmEAiAQEqBRIDCgExegVDb2FjaIABABI_ChYKCjIwMjYtMTEtMjUSA0xPUxoDTEFYChYKCjIwMjYtMTItMjQSA0xBWBoDTE9TEgcSBUNPQUNIGgIQASAC%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Skyscanner,1833.2,"$1,834",Air France,2026-11-25T23:55:00,2026-11-26T13:00:00,2026-12-24T21:05:00,2026-12-26T21:40:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
