platform,price,price_display,airline,out_depart,out_arrive,ret_depart,ret_arrive,split,link
Kayak,1373,"$1,373",DL + WB,2026-11-25T14:45:00,N/A,2026-12-24T14:25:00,N/A,YES,https://www.kayak.com
Kayak,1577,"$1,577",Unknown,N/A,N/A,N/A,N/A,No,https://www.kayak.com/book/flight?code=uGGCQofKsp.ZpbE3-UY8hoNUvH8T-y68A.157696.8db164c14c2955db8e62e7df1944c4df&h=2c3e9ee80523&sub=F-2599671453388860537E0d49c6c078d&viewId=f4149b6f-8d99-4c0e-b7e3-114b2912e8c2&viewRank=2
Booking.com,1615,$1615,Egyptair,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Skyscanner,1616.0,"$1,616",EgyptAir,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Expedia,1621.0,"US$1,621",Emirates,2026-11-25T17:55,2026-11-26T12:45,2026-12-24T15:35,2026-12-26T16:10,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQrNAwqtA3Y1LXNvcy01ZTYxZjNiMzc3YWU0ZTE0YWE2MmNkMzlmNzU1MWExNS00NTEtMX44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2Q1c1a1kyUnBjbVZqZElnQjhJYUVaYW9CQndvRFRFOVRFQUN5QVFjS0EweEJXQkFBfkFRcGdDaTRJeFpZQkVnTTNPRFFZeTVNQklPTU5LTmVPbmdNd2lwS2VBemhVUUFCWUFXb0NXVkJ5Q0ZSTVJVVlFUa2N4Q2k0SXhaWUJFZ015TVRVWTR3MGdpN2dCS0k2VW5nTXczWnVlQXpoVVFBQllBV29DV1ZCeUNGUk1SVVZRVGtjeENtQUtMZ2pGbGdFU0F6SXhOaGlMdUFFZzR3MG9oOWlnQXpEQzM2QURPRlJBQUZnQmFnSlpVSElJVkV4RlJWQk9SekVLTGdqRmxnRVNBemM0TXhqakRTRExrd0VveHVhZ0F6RE82cUFET0ZSQUFGZ0JhZ0paVUhJSVZFeEZSVkJPUnpFU0NnZ0JFQUVZQVNvQ1JVc1lBU0lFQ0FFUUFTZ0NLQU1vQkRBTBFxPQrXow-WQCIBASoFEgMKATF6BUNvYWNogAEAEj8KFgoKMjAyNi0xMS0yNRIDTE9TGgNMQVgKFgoKMjAyNi0xMi0yNBIDTEFYGgNMT1MSBxIFQ09BQ0gaAhABIAI%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Booking.com,1670,$1670,Emirates Airlines,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Expedia,1685.0,"US$1,685",EGYPTAIR,2026-11-25T15:00,2026-11-26T12:20,2026-12-24T16:25,2026-12-26T13:45,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQq1AwqVA3Y1LXNvcy01ZTYxZjNiMzc3YWU0ZTE0YWE2MmNkMzlmNzU1MWExNS02NTYtMn44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2QTJKbWM0Z0I4SWFFWmFvQkJ3b0RURTlURUFDeUFRY0tBMHhCV0JBQX5BUXBhQ2lzSXphWUJFZ000TnpZWXk1TUJJSUpBS0tpTm5nTXczby1lQXpoWFFBQllBV29DUWs5eUJWZE9TVTVIQ2lzSXphWUJFZ001T0RNWWdrQWdpN2dCS01xVW5nTXd4SnVlQXpoWFFBRllBV29DUWs5eUJWZE9TVTVIQ2xvS0t3ak5wZ0VTQXprNE5CaUx1QUVnZ2tBb3VkaWdBekR5M3FBRE9GRkFBRmdCYWdKSFJISUZVVkpGVGtjS0t3ak5wZ0VTQXpnM05SaUNRQ0RMa3dFbzBPYWdBekM5NmFBRE9GRkFBVmdCYWdKSFJISUZVVkpGVGtjU0NnZ0NFQUVZQWlvQ1RWTVlBU0lFQ0FFUUFTZ0NLQVFvQmpBQhEfhetRuO6WQCIBASoFEgMKATF6BUNvYWNogAEAEj8KFgoKMjAyNi0xMS0yNRIDTE9TGgNMQVgKFgoKMjAyNi0xMi0yNBIDTEFYGgNMT1MSBxIFQ09BQ0gaAhABIAI%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Skyscanner,1706.97,"$1,707",Emirates,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Skyscanner,1711.6,"$1,712",Qatar Airways,2026-11-25T15:30:00,2026-11-26T12:50:00,2026-12-24T15:10:00,2026-12-26T14:00:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Booking.com,1846,$1846,Qatar Airways,2026-11-25T15:30:00,2026-11-26T12:50:00,2026-12-24T15:10:00,2026-12-26T14:00:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
